,,,
Source: A&E Datamart,,,
Data from: 1st Janury 2015 - 31st December 2016,,,
Data extracted: 15th November 2017,,,
,,,
Arrival Date,Treatment NHS Board Description - as at date of episode,Treatment Location Name,Number Of Attendances
14-Dec-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,165
14-Dec-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,64
14-Dec-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,57
14-Dec-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,42
14-Dec-2015,NHS HIGHLAND,BELFORD HOSPITAL,17
14-Dec-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,23
14-Dec-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,18
14-Dec-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,84
14-Dec-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,185
14-Dec-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,204
14-Dec-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,190
14-Dec-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),139
14-Dec-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,338
14-Dec-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,146
14-Dec-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,139
14-Dec-2015,NHS ORKNEY,BALFOUR HOSPITAL,19
14-Dec-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,32
14-Dec-2015,NHS TAYSIDE,ARBROATH INFIRMARY,25
14-Dec-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,11
14-Dec-2015,NHS TAYSIDE,BRECHIN INFIRMARY,5
14-Dec-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,4
14-Dec-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,15
14-Dec-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,121
14-Dec-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,81
14-Dec-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,4
14-Dec-2015,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
14-Dec-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,24
14-Dec-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,17
15-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,113
15-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,213
15-Dec-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,44
15-Dec-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,71
15-Dec-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,26
15-Dec-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,51
15-Dec-2015,NHS FIFE,VICTORIA HOSPITAL,142
15-Dec-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,172
15-Dec-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,37
15-Dec-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,154
15-Dec-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,64
15-Dec-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,35
15-Dec-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,236
15-Dec-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,81
15-Dec-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,87
15-Dec-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,258
15-Dec-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,182
15-Dec-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,162
15-Dec-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,54
15-Dec-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,41
15-Dec-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,28
15-Dec-2015,NHS HIGHLAND,BELFORD HOSPITAL,16
15-Dec-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,12
15-Dec-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,18
15-Dec-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,78
15-Dec-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,157
15-Dec-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,167
15-Dec-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,153
15-Dec-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),138
15-Dec-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,310
15-Dec-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,134
15-Dec-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,122
15-Dec-2015,NHS ORKNEY,BALFOUR HOSPITAL,14
15-Dec-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,19
15-Dec-2015,NHS TAYSIDE,ARBROATH INFIRMARY,30
15-Dec-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,7
15-Dec-2015,NHS TAYSIDE,BRECHIN INFIRMARY,6
15-Dec-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,3
15-Dec-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,12
15-Dec-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,118
15-Dec-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,42
15-Dec-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,3
15-Dec-2015,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
15-Dec-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,16
15-Dec-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,18
16-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,114
16-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,214
16-Dec-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,60
16-Dec-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,86
16-Dec-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,26
16-Dec-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,51
16-Dec-2015,NHS FIFE,VICTORIA HOSPITAL,154
16-Dec-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,160
16-Dec-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,28
16-Dec-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,127
16-Dec-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,55
16-Dec-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,32
16-Dec-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,251
16-Dec-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,67
16-Dec-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,74
16-Dec-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,239
16-Dec-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,164
16-Dec-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,124
16-Dec-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,46
16-Dec-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,44
16-Dec-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,18
16-Dec-2015,NHS HIGHLAND,BELFORD HOSPITAL,22
16-Dec-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,17
16-Dec-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,15
16-Dec-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,63
16-Dec-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,187
16-Dec-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,165
16-Dec-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,148
16-Dec-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),126
16-Dec-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,291
16-Dec-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,149
16-Dec-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,124
16-Dec-2015,NHS ORKNEY,BALFOUR HOSPITAL,15
16-Dec-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,29
16-Dec-2015,NHS TAYSIDE,ARBROATH INFIRMARY,28
16-Dec-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,9
16-Dec-2015,NHS TAYSIDE,BRECHIN INFIRMARY,2
16-Dec-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,3
16-Dec-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,17
16-Dec-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,102
16-Dec-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,59
16-Dec-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,6
16-Dec-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,17
16-Dec-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,15
17-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,111
17-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,214
17-Dec-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,54
17-Dec-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,99
17-Dec-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,27
17-Dec-2015,NHS DUMFRIES & GALLOWAY,NEWTON STEWART HOSPITAL,2
17-Dec-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,41
17-Dec-2015,NHS FIFE,VICTORIA HOSPITAL,168
17-Dec-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,150
17-Dec-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,28
17-Dec-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,150
17-Dec-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,65
17-Dec-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,39
17-Dec-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,215
17-Dec-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,88
17-Dec-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,69
17-Dec-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,233
17-Dec-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,180
17-Dec-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,142
17-Dec-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,52
17-Dec-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,39
17-Dec-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,23
17-Dec-2015,NHS HIGHLAND,BELFORD HOSPITAL,17
17-Dec-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,14
17-Dec-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,11
17-Dec-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,80
17-Dec-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,159
17-Dec-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,193
17-Dec-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,145
17-Dec-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),101
17-Dec-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,321
17-Dec-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,122
17-Dec-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,110
17-Dec-2015,NHS ORKNEY,BALFOUR HOSPITAL,9
17-Dec-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,24
17-Dec-2015,NHS TAYSIDE,ARBROATH INFIRMARY,29
17-Dec-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,8
17-Dec-2015,NHS TAYSIDE,BRECHIN INFIRMARY,5
17-Dec-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,4
17-Dec-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,9
17-Dec-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,127
17-Dec-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,37
17-Dec-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,3
17-Dec-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,10
17-Dec-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,20
18-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,112
18-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,251
18-Dec-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,58
18-Dec-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,93
18-Dec-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,36
18-Dec-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,60
18-Dec-2015,NHS FIFE,VICTORIA HOSPITAL,153
18-Dec-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,134
18-Dec-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,36
18-Dec-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,112
18-Dec-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,63
18-Dec-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,36
18-Dec-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,196
18-Dec-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,87
18-Dec-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,72
18-Dec-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,249
18-Dec-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,183
18-Dec-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,155
18-Dec-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,38
18-Dec-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,34
18-Dec-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,36
18-Dec-2015,NHS HIGHLAND,BELFORD HOSPITAL,20
18-Dec-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,12
18-Dec-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,9
18-Dec-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,82
18-Dec-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,173
18-Dec-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,182
18-Dec-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,158
18-Dec-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),134
18-Dec-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,329
18-Dec-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,127
18-Dec-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,134
18-Dec-2015,NHS ORKNEY,BALFOUR HOSPITAL,19
18-Dec-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,18
18-Dec-2015,NHS TAYSIDE,ARBROATH INFIRMARY,33
18-Dec-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,6
18-Dec-2015,NHS TAYSIDE,BRECHIN INFIRMARY,4
18-Dec-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,1
18-Dec-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,12
18-Dec-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,97
18-Dec-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,56
18-Dec-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,5
18-Dec-2015,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
18-Dec-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,15
18-Dec-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,16
19-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,118
19-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,193
19-Dec-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,87
19-Dec-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,93
19-Dec-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,39
19-Dec-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,48
19-Dec-2015,NHS FIFE,VICTORIA HOSPITAL,185
19-Dec-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,178
19-Dec-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,37
19-Dec-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,160
19-Dec-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,71
19-Dec-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,39
19-Dec-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,254
19-Dec-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,77
19-Dec-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,55
19-Dec-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,246
19-Dec-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,170
19-Dec-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,137
19-Dec-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,48
19-Dec-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,19
19-Dec-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,21
19-Dec-2015,NHS HIGHLAND,BELFORD HOSPITAL,10
19-Dec-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,17
19-Dec-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,24
19-Dec-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,95
19-Dec-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,149
19-Dec-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,170
19-Dec-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,151
19-Dec-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),125
19-Dec-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,307
19-Dec-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,154
19-Dec-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,86
19-Dec-2015,NHS ORKNEY,BALFOUR HOSPITAL,15
19-Dec-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,24
19-Dec-2015,NHS TAYSIDE,ARBROATH INFIRMARY,42
19-Dec-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,11
19-Dec-2015,NHS TAYSIDE,BRECHIN INFIRMARY,6
19-Dec-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,6
19-Dec-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,21
19-Dec-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,150
19-Dec-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,84
19-Dec-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,7
19-Dec-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,30
19-Dec-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,15
20-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,113
20-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,201
20-Dec-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,58
20-Dec-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,112
20-Dec-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,37
20-Dec-2015,NHS DUMFRIES & GALLOWAY,NEWTON STEWART HOSPITAL,1
20-Dec-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,55
20-Dec-2015,NHS FIFE,VICTORIA HOSPITAL,170
20-Dec-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,193
20-Dec-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,40
20-Dec-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,176
20-Dec-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,72
20-Dec-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,31
20-Dec-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,248
20-Dec-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,83
20-Dec-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,54
20-Dec-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,259
20-Dec-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,188
20-Dec-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,162
20-Dec-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,40
20-Dec-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,38
20-Dec-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,21
20-Dec-2015,NHS HIGHLAND,BELFORD HOSPITAL,12
20-Dec-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,15
20-Dec-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,15
20-Dec-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,97
20-Dec-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,155
20-Dec-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,181
20-Dec-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,171
20-Dec-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),129
20-Dec-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,337
20-Dec-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,176
20-Dec-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,96
20-Dec-2015,NHS ORKNEY,BALFOUR HOSPITAL,17
20-Dec-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,28
20-Dec-2015,NHS TAYSIDE,ARBROATH INFIRMARY,35
20-Dec-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,11
20-Dec-2015,NHS TAYSIDE,BRECHIN INFIRMARY,7
20-Dec-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,5
20-Dec-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,19
20-Dec-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,164
20-Dec-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,83
20-Dec-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,4
20-Dec-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,19
20-Dec-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,15
21-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,138
21-Dec-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,234
21-Dec-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,60
21-Dec-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,104
21-Dec-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,34
21-Dec-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,34
21-Dec-2015,NHS FIFE,VICTORIA HOSPITAL,177
21-Dec-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,163
21-Dec-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,38
21-Dec-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,157
21-Dec-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,66
21-Dec-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,25
21-Dec-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,234
21-Dec-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,88
21-Dec-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,85
