Arrival Date,Treatment NHS Board Description - as at date of episode,Location Name,Number Of Attendances
10-Jul-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,260
10-Jul-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,111
10-Jul-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,90
10-Jul-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,276
10-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,194
10-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,126
10-Jul-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,57
10-Jul-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,59
10-Jul-17,NHS HIGHLAND,BELFORD HOSPITAL,27
10-Jul-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,32
10-Jul-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,15
10-Jul-17,NHS HIGHLAND,RAIGMORE HOSPITAL,99
10-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,201
10-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,213
10-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,228
10-Jul-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),100
10-Jul-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,334
10-Jul-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,144
10-Jul-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,137
10-Jul-17,NHS ORKNEY,BALFOUR HOSPITAL,26
10-Jul-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,22
10-Jul-17,NHS TAYSIDE,ARBROATH INFIRMARY,42
10-Jul-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,11
10-Jul-17,NHS TAYSIDE,BRECHIN INFIRMARY,10
10-Jul-17,NHS TAYSIDE,LINKS HEALTH CENTRE,8
10-Jul-17,NHS TAYSIDE,NINEWELLS HOSPITAL,135
10-Jul-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,75
10-Jul-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,9
10-Jul-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,13
10-Jul-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,4
10-Jul-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,25
11-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,92
11-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,163
11-Jul-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,84
11-Jul-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,114
11-Jul-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,27
11-Jul-17,NHS FIFE,ADAMSON HOSPITAL,6
11-Jul-17,NHS FIFE,QUEEN MARGARET HOSPITAL,56
11-Jul-17,NHS FIFE,ST ANDREWS COMMUNITY HOSPITAL,13
11-Jul-17,NHS FIFE,VICTORIA HOSPITAL,190
11-Jul-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,155
11-Jul-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,41
11-Jul-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,155
11-Jul-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,74
11-Jul-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,37
11-Jul-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,241
11-Jul-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,110
11-Jul-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,102
11-Jul-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,269
11-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,160
11-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,122
11-Jul-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,48
11-Jul-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,44
11-Jul-17,NHS HIGHLAND,BELFORD HOSPITAL,33
11-Jul-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,23
11-Jul-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,24
11-Jul-17,NHS HIGHLAND,RAIGMORE HOSPITAL,93
11-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,196
11-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,161
11-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,185
11-Jul-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),81
11-Jul-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,334
11-Jul-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,157
11-Jul-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,124
11-Jul-17,NHS ORKNEY,BALFOUR HOSPITAL,23
11-Jul-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,31
11-Jul-17,NHS TAYSIDE,ARBROATH INFIRMARY,49
11-Jul-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,3
11-Jul-17,NHS TAYSIDE,BRECHIN INFIRMARY,8
11-Jul-17,NHS TAYSIDE,LINKS HEALTH CENTRE,10
11-Jul-17,NHS TAYSIDE,NINEWELLS HOSPITAL,122
11-Jul-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,63
11-Jul-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,5
11-Jul-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,10
11-Jul-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,5
11-Jul-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,19
12-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,105
12-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,177
12-Jul-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,63
12-Jul-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,117
12-Jul-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,29
12-Jul-17,NHS FIFE,ADAMSON HOSPITAL,7
12-Jul-17,NHS FIFE,QUEEN MARGARET HOSPITAL,56
12-Jul-17,NHS FIFE,ST ANDREWS COMMUNITY HOSPITAL,14
12-Jul-17,NHS FIFE,VICTORIA HOSPITAL,171
12-Jul-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,161
12-Jul-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,46
12-Jul-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,156
12-Jul-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,73
12-Jul-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,38
12-Jul-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,228
12-Jul-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,94
12-Jul-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,92
12-Jul-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,261
12-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,191
12-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,114
12-Jul-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,45
12-Jul-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,64
12-Jul-17,NHS HIGHLAND,BELFORD HOSPITAL,25
12-Jul-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,21
12-Jul-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,20
12-Jul-17,NHS HIGHLAND,RAIGMORE HOSPITAL,82
12-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,176
12-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,206
12-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,190
12-Jul-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),103
12-Jul-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,321
12-Jul-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,139
12-Jul-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,147
12-Jul-17,NHS ORKNEY,BALFOUR HOSPITAL,17
12-Jul-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,27
12-Jul-17,NHS TAYSIDE,ARBROATH INFIRMARY,29
12-Jul-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,4
12-Jul-17,NHS TAYSIDE,BRECHIN INFIRMARY,7
12-Jul-17,NHS TAYSIDE,LINKS HEALTH CENTRE,11
12-Jul-17,NHS TAYSIDE,NINEWELLS HOSPITAL,119
12-Jul-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,68
12-Jul-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,10
12-Jul-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,16
12-Jul-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,7
12-Jul-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,16
13-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,97
13-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,186
13-Jul-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,69
13-Jul-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,108
13-Jul-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,25
13-Jul-17,NHS FIFE,ADAMSON HOSPITAL,6
13-Jul-17,NHS FIFE,QUEEN MARGARET HOSPITAL,66
13-Jul-17,NHS FIFE,ST ANDREWS COMMUNITY HOSPITAL,16
13-Jul-17,NHS FIFE,VICTORIA HOSPITAL,182
13-Jul-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,173
13-Jul-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,49
13-Jul-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,160
13-Jul-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,52
13-Jul-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,34
13-Jul-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,253
13-Jul-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,89
13-Jul-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,100
13-Jul-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,294
13-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,184
13-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,139
13-Jul-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,52
13-Jul-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,55
13-Jul-17,NHS HIGHLAND,BELFORD HOSPITAL,37
13-Jul-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,11
13-Jul-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,21
13-Jul-17,NHS HIGHLAND,RAIGMORE HOSPITAL,106
13-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,172
13-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,187
13-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,184
13-Jul-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),126
13-Jul-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,304
13-Jul-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,124
13-Jul-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,124
13-Jul-17,NHS ORKNEY,BALFOUR HOSPITAL,13
13-Jul-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,20
13-Jul-17,NHS TAYSIDE,ARBROATH INFIRMARY,35
13-Jul-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,6
13-Jul-17,NHS TAYSIDE,BRECHIN INFIRMARY,8
13-Jul-17,NHS TAYSIDE,LINKS HEALTH CENTRE,9
13-Jul-17,NHS TAYSIDE,NINEWELLS HOSPITAL,119
13-Jul-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,67
13-Jul-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,5
13-Jul-17,NHS TAYSIDE,ST MARGARET'S HOSPITAL,2
13-Jul-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,11
13-Jul-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,2
13-Jul-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,18
14-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,118
14-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,134
14-Jul-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,78
14-Jul-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,101
14-Jul-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,27
14-Jul-17,NHS FIFE,ADAMSON HOSPITAL,5
14-Jul-17,NHS FIFE,QUEEN MARGARET HOSPITAL,67
14-Jul-17,NHS FIFE,ST ANDREWS COMMUNITY HOSPITAL,14
14-Jul-17,NHS FIFE,VICTORIA HOSPITAL,171
14-Jul-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,158
14-Jul-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,36
14-Jul-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,136
14-Jul-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,63
14-Jul-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,34
14-Jul-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,222
14-Jul-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,97
14-Jul-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,92
14-Jul-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,263
14-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,173
14-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,123
14-Jul-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,69
14-Jul-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,52
14-Jul-17,NHS HIGHLAND,BELFORD HOSPITAL,32
14-Jul-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,16
14-Jul-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,24
14-Jul-17,NHS HIGHLAND,RAIGMORE HOSPITAL,97
14-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,172
14-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,164
14-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,181
14-Jul-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),93
14-Jul-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,327
14-Jul-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,131
14-Jul-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,137
14-Jul-17,NHS ORKNEY,BALFOUR HOSPITAL,19
14-Jul-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,24
14-Jul-17,NHS TAYSIDE,ARBROATH INFIRMARY,39
14-Jul-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,7
14-Jul-17,NHS TAYSIDE,BRECHIN INFIRMARY,5
14-Jul-17,NHS TAYSIDE,LINKS HEALTH CENTRE,11
14-Jul-17,NHS TAYSIDE,NINEWELLS HOSPITAL,119
14-Jul-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,73
14-Jul-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,11
14-Jul-17,NHS TAYSIDE,ST MARGARET'S HOSPITAL,2
14-Jul-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,21
14-Jul-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,10
14-Jul-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,22
15-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,94
15-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,189
15-Jul-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,93
15-Jul-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,94
15-Jul-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,27
15-Jul-17,NHS FIFE,QUEEN MARGARET HOSPITAL,50
15-Jul-17,NHS FIFE,VICTORIA HOSPITAL,182
15-Jul-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,170
15-Jul-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,38
15-Jul-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,163
15-Jul-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,62
15-Jul-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,43
15-Jul-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,224
15-Jul-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,71
15-Jul-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,67
15-Jul-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,296
15-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,150
15-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,96
15-Jul-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,36
15-Jul-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,27
15-Jul-17,NHS HIGHLAND,BELFORD HOSPITAL,21
15-Jul-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,16
15-Jul-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,12
15-Jul-17,NHS HIGHLAND,RAIGMORE HOSPITAL,109
15-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,154
15-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,135
15-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,150
15-Jul-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),105
15-Jul-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,311
15-Jul-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,119
15-Jul-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,100
15-Jul-17,NHS ORKNEY,BALFOUR HOSPITAL,11
15-Jul-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,18
15-Jul-17,NHS TAYSIDE,ARBROATH INFIRMARY,53
15-Jul-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,11
15-Jul-17,NHS TAYSIDE,BRECHIN INFIRMARY,8
15-Jul-17,NHS TAYSIDE,LINKS HEALTH CENTRE,16
15-Jul-17,NHS TAYSIDE,NINEWELLS HOSPITAL,146
15-Jul-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,76
15-Jul-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,8
15-Jul-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,22
15-Jul-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,6
15-Jul-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,22
16-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,108
16-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,201
16-Jul-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,94
16-Jul-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,116
16-Jul-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,47
16-Jul-17,NHS FIFE,QUEEN MARGARET HOSPITAL,64
16-Jul-17,NHS FIFE,VICTORIA HOSPITAL,196
16-Jul-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,180
16-Jul-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,47
16-Jul-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,181
16-Jul-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,69
16-Jul-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,32
16-Jul-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,278
16-Jul-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,94
16-Jul-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,84
16-Jul-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,268
16-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,158
16-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,139
16-Jul-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,43
16-Jul-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,37
16-Jul-17,NHS HIGHLAND,BELFORD HOSPITAL,26
16-Jul-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,22
16-Jul-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,20
16-Jul-17,NHS HIGHLAND,RAIGMORE HOSPITAL,89
16-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,210
16-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,179
16-Jul-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,187
16-Jul-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),99
16-Jul-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,349
16-Jul-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,159
16-Jul-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,114
16-Jul-17,NHS ORKNEY,BALFOUR HOSPITAL,18
16-Jul-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,20
16-Jul-17,NHS TAYSIDE,ARBROATH INFIRMARY,59
16-Jul-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,11
16-Jul-17,NHS TAYSIDE,BRECHIN INFIRMARY,7
16-Jul-17,NHS TAYSIDE,LINKS HEALTH CENTRE,17
16-Jul-17,NHS TAYSIDE,NINEWELLS HOSPITAL,156
16-Jul-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,70
16-Jul-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,10
16-Jul-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,22
16-Jul-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,1
16-Jul-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,13
17-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,111
17-Jul-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,201
17-Jul-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,103
17-Jul-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,96
17-Jul-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,35
17-Jul-17,NHS FIFE,ADAMSON HOSPITAL,8
17-Jul-17,NHS FIFE,QUEEN MARGARET HOSPITAL,74
17-Jul-17,NHS FIFE,ST ANDREWS COMMUNITY HOSPITAL,13
17-Jul-17,NHS FIFE,VICTORIA HOSPITAL,183
17-Jul-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,199
17-Jul-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,47
17-Jul-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,180
17-Jul-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,76
17-Jul-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,48
17-Jul-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,294
17-Jul-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,97
17-Jul-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,90
17-Jul-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,327
17-Jul-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,203
